"rowid","content","content_clean","label","hashtags_count","mentions_count","url_count","content_length","vocab_richness","n_capital_letters","n_punctuation_marks","n_curses","unique_words","total_words","numbers_count","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","afinn_sentiment","verbs","adjectives","nouns"
42,"- More DnD podcasts!?  Fuck YEAH!","more dnd podcasts fuck yeah","1",0,0,0,33,1,4,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,-3,1,2,1
43,"- Oh  yikes!  I hate that.  Will she willingly use the toilet for it?  My boys won't.","oh yikes i hate that will she willingly use the toilet for it my boys wont","1",0,0,0,85,1,4,6,0,16,16,0,1,1,2,1,0,1,0,0,2,1,-3,2,0,3
44,"- oh yeah! Actually these were done with no calories  carbs or fat! Amazing eh? :-) -http://twitpic.com/v440","oh yeah actually these were done with no calories carbs or fat amazing eh","0",0,0,0,108,1,2,13,0,14,14,0,0,0,1,0,0,1,0,0,1,0,4,1,2,3
45,"- or L7 - that's where i totally kick ass!!","or l thats where i totally kick ass","0",0,0,0,43,0.9,1,5,0,8,8,0,1,0,0,0,0,0,0,0,2,0,-4,1,1,2
46,"- re: Retweeter  that sucks - can't stand peeps like that. Hubby really is a gift! I hope you have someone like that in your life","re retweeter that sucks cant stand peeps like that hubby really is a gift i hope you have someone like that in your life","0",0,0,0,129,0.884615384615385,3,6,0,21,24,0,0,2,0,0,2,0,2,1,0,2,5,3,1,6
47,"- RR could also whup JT's ass.","rr could also whup jts ass","0",0,0,0,30,1,2,3,0,6,6,0,0,0,0,0,0,0,0,0,1,0,-4,1,0,3
48,"- Rubacky's just too damn cute. :-) He's one of the best AMs around  too.","rubackys just too damn cute hes one of the best ams around too","0",0,0,0,73,1,3,8,0,12,13,0,1,0,1,0,0,0,0,0,1,1,1,0,2,3
49,"- So damn slow. It's depressing - I just want to be done!","so damn slow its depressing i just want to be done","0",0,0,0,57,0.923076923076923,3,5,0,11,11,0,1,0,2,0,0,1,0,0,2,0,-5,3,1,0
50,"- Thankfully we haven't gotten any ice yet. Just a lot of rain. I hate ice. I always bust my shit.","thankfully we havent gotten any ice yet just a lot of rain i hate ice i always bust my shit","0",0,0,0,98,0.952380952380952,4,6,0,18,20,0,2,0,2,1,0,1,0,0,2,0,-7,4,0,5
51,"- There there *hugs* Nobody sucks in relationship. Maybe it's about timing and the people :) It's OK.","there there hugs nobody sucks in relationship maybe its about timing and the people its ok","0",0,0,0,101,1,5,9,0,14,16,0,0,0,0,0,0,0,0,0,0,0,-1,2,1,3
52,"- trying to remember the on-shore fields from late 90's - Bu Hasa  Habshan - damn! cannot remember the rest - good times!","trying to remember the onshore fields from late s bu hasa habshan damn cannot remember the rest good times","0",0,0,0,121,0.782608695652174,3,8,0,17,19,1,1,1,1,0,1,1,1,1,2,2,-1,3,5,3
53,"- u can't help but fucking love women like that! Damn &#9824;","u cant help but fucking love women like that damn","0",1,0,0,61,1,1,6,1,10,10,1,1,0,1,0,1,0,0,0,1,1,-1,2,0,4
54,"- Uh... Fail Whale? What Fail Whale? *whistling non-chalantly*","uh fail whale what fail whale whistling nonchalantly","0",0,0,0,62,0.777777777777778,6,9,0,6,8,0,0,0,0,0,0,0,0,0,0,0,-4,2,0,1
55,"- we need to have desing discussions... none of the artists i work with give a fuck past thier day job about art :(","we need to have desing discussions none of the artists i work with give a fuck past thier day job about art","0",0,0,0,115,1,0,6,1,22,22,0,0,1,0,0,1,1,1,0,0,2,-4,5,1,7
56,"- welcome to frisco on new years....damn crazy!","welcome to frisco on new yearsdamn crazy","0",0,0,0,47,1,0,6,0,7,7,0,1,0,0,1,0,1,0,0,1,0,0,1,2,2
57,"- welcome to Twitter!  I'd love to see a Munchkin-themed Fail Whale ... :-)","welcome to twitter id love to see a munchkinthemed fail whale","0",0,0,0,75,0.928571428571429,5,10,0,10,11,0,0,0,0,0,1,0,0,0,0,1,3,3,1,4
58,"- who *didn't* grab your ass once you got to EG? i mean  seriously...i saw lots of grab assing. just sayin'...","who didnt grab your ass once you got to eg i mean seriouslyi saw lots of grab assing just sayin","0",0,0,0,110,0.952380952380952,1,13,1,19,20,0,1,0,0,0,0,0,0,0,2,0,-4,5,0,4
59,"- word up  the Dragonball movie trailer offically has me upset.  It's looks MAD cheesy & bootleg.  Chow Yun Fat is the only cool dude","word up the dragonball movie trailer offically has me upset its looks mad cheesy bootleg chow yun fat is the only cool dude","0",0,0,0,133,0.96,6,5,0,22,23,0,2,0,2,1,0,3,0,1,3,2,-4,2,4,10
60,"- Yea man these big bloggers always think they are the best.. Will have to show them X-( I fking hate Big bloggers..","yea man these big bloggers always think they are the best will have to show them x i fking hate big bloggers","0",0,0,0,116,1,5,7,0,20,22,0,1,0,1,1,0,1,0,1,1,0,2,4,3,4
61,"- yep  I'm a real ass. Everybody knows that.","yep im a real ass everybody knows that","1",0,0,0,44,1,2,4,0,8,8,0,0,0,0,0,0,0,0,1,1,1,-4,1,1,1
62,"- Yep. Did I tell you my plan - which shd fund 50 surgeries in the coming year? No? Damn  shd send you that email! :lol:","yep did i tell you my plan which shd fund surgeries in the coming year no damn shd send you that email lol","0",0,0,0,120,0.884615384615385,5,8,0,21,23,1,1,2,1,0,0,0,0,0,1,0,-2,4,0,7
63,"- yes. but i am getting tired of their 'hate the customer' funnies. Would be funnier if the service was better","yes but i am getting tired of their hate the customer funnies would be funnier if the service was better","0",0,0,0,110,0.952380952380952,1,5,0,19,20,0,1,0,1,1,0,1,0,0,2,1,2,1,3,4
64,"- you are a man of action. great work Daniel. don't forget to record your fat loss seminar!","you are a man of action great work daniel dont forget to record your fat loss seminar","1",0,0,0,91,1,1,5,0,17,17,0,1,0,1,1,0,2,0,0,3,1,-1,2,1,7
65,"- you bitch slappin @kevinrose over da weather - LOL","you bitch slappin kevinrose over da weather lol","0",0,1,0,52,0.9,1,3,1,8,8,0,1,0,1,1,0,1,0,0,1,0,-2,1,1,3
66,"- you can trust me to do my part to help @adam_callender win his ""biggest loser"" contest.  ;)","you can trust me to do my part to help adamcallender win his biggest loser contest","1",0,1,0,93,0.944444444444444,0,8,0,15,16,0,0,0,0,0,0,0,0,1,0,0,4,4,1,3
67,"- You KNOW she doesn't.  She BARELY looks hapa. But LOL @ that one bitch from the one show.","you know she doesnt she barely looks hapa but lol that one bitch from the one show","0",0,1,0,91,0.947368421052632,6,6,1,15,17,0,1,0,1,1,0,1,0,1,1,0,-2,2,0,3
68,"- your design was so un-metal that it was hella-metal.  kim singhs's was bad-ass with the blingee pot leafs and purple pegasus.","your design was so unmetal that it was hellametal kim singhss was badass with the blingee pot leafs and purple pegasus","0",0,0,0,127,0.909090909090909,0,7,0,19,21,0,0,0,0,0,0,0,0,0,0,0,-3,0,4,7
69,"-a""","a","0",0,0,0,3,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"-Steffy-""","steffy","0",0,0,0,9,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,"-there is. It's sad  really. I never could be ok with that stuff. Still hate movies where the animals die  I cry every time. :(","there is its sad really i never could be ok with that stuff still hate movies where the animals die i cry every time","0",0,0,0,127,0.96,4,8,0,23,24,0,1,1,1,2,0,3,0,0,3,0,-9,4,2,4
72,"-Haa you guessedd righhtttt:Dr its Maryyyy(: ahhh ilovee this picture!!!!!!!!!! mayb becuase youhr in it babe<3","haa you guessedd righh dr its mar a ilovee this picture mayb becuase youhr in it babe","0",0,0,0,111,1,3,14,0,17,17,1,0,0,0,0,0,0,0,0,1,0,0,2,1,6
73,"-Hellz yeahh(: of course i&;m qoinqq i wannah b with you quy&;s  like duhh<3","hellz yeahh of course im qoinqq i wannah b with you quys like duhh","0",0,0,0,76,1,1,7,0,14,14,1,0,0,0,0,0,0,0,0,0,0,2,1,1,3
74,"-question-","question","0",0,0,0,10,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
75,"-rape-","rape","0",0,0,0,6,1,0,2,0,1,1,0,1,0,1,1,0,1,0,0,1,0,-4,0,0,1
76,"-woaahhhhhh! Likee dude i&;m in youhr backround!!! :D AWESOMEEEE! <3 ilybbyy(:","woaa likee dude im in youhr backround d awesom ilybbyy","0",0,0,0,78,1,3,11,0,10,10,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4
77,"- Marryyyyy!!!!??/ LOL! itss yuhh boo!!! Hahaha Noo durr suckkaaa!!! Nahhh i loveee yuhhhh mooOee!!!","marr lol itss yuhh boo hahaha noo durr suckk na i lov yu m ee","0",0,0,0,100,1,5,18,0,15,15,0,0,0,0,0,0,0,0,0,1,0,6,4,0,1
78,"Santa is Italian.  It's a fact  (the pasta made him fat like me)","santa is italian its a fact the pasta made him fat like me","0",0,0,0,64,1,3,4,0,13,13,0,0,0,1,0,0,1,0,1,1,0,2,1,2,3
79,""" Fuck Sarah Palin  the political version on Sanjaya"".....perfection.","fuck sarah palin the political version on sanjayaperfection","0",0,0,0,69,1,4,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,-4,0,1,4
80,"(: ahaha hii ceara..","ahaha hii ceara","0",0,0,0,20,1,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,"(: Taelin Walker Webb <3","taelin walker webb","0",0,0,0,24,1,3,2,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
82,"*RAWR*?","rawr","0",0,0,0,7,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,"*wearr hmmm haha okay.r w/e","wearr h haha okayr we","0",0,0,0,27,1,0,3,0,5,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
87,"...all that about your job really sucks. &lt;3""","all that about your job really sucks lt","0",0,0,0,47,1,0,7,0,8,8,1,0,0,0,0,0,0,0,0,0,1,-3,1,0,2
88,"...no.","no","0",0,0,0,6,1,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
91,":) awhh","awhh","0",0,0,0,7,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,":) Aww!! Yeahh she is my best friend * raphaela * Haha. She is german so i guess thts why! lmao <3","aww yeahh she is my best friend raphaela haha she is german so i guess thts why lmao","0",0,0,0,98,0.909090909090909,4,8,0,16,18,1,0,0,0,0,1,0,1,1,0,1,10,1,2,3
93,":) hahah thanksss","hahah thank","0",0,0,0,17,1,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
94,":) HAHAHA AWHHHHHHHHHHHHHHHHHH <3","hahaha aw","0",0,0,0,33,1,2,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
95,":) hey thank you  that means alot. is this who i think it is?r but really thank you","hey thank you that means alot is this who i think it isr but really thank you","0",0,0,0,83,0.888888888888889,0,4,0,15,17,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0
96,":) i lovwe you to  :) we will meet haha me jo and you could go to grannys??????????????","i lovwe you to we will meet haha me jo and you could go to grannys","0",0,0,0,87,0.833333333333333,0,18,0,14,16,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1
97,":) omg thanks! :D","omg thanks d","0",0,0,0,17,1,1,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
101,":/ hmm i no lol","hmm i no lol","0",0,0,0,15,1,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
102,":/ ugh.. why are you doing this again?","ugh why are you doing this again","0",0,0,0,38,1,0,5,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
104,":[ computers are dumb sometimes. and yup you too! I had like 110 because of you :] Well and cause I didnt get on all weekend..haha","computers are dumb sometimes and yup you too i had like because of you well and cause i didnt get on all weekendhaha","0",0,0,0,130,0.884615384615385,3,8,0,20,23,1,0,0,0,0,0,0,0,0,1,0,-1,3,1,2
106,":D","d","0",0,0,0,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,":D awhh hahaha thanlyou","d awhh hahaha thanlyou","0",0,0,0,23,1,1,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2
108,":D awhhh thankyou  your the best :)r loveyouto:D","d aw thankyou your the best r loveyoutod","0",0,0,0,48,1,2,4,0,8,8,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2
109,":D hahahaha","d hahahaha","0",0,0,0,11,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
110,":D hahahahahahahah","d hahahahahahahah","0",0,0,0,18,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
111,":D i love you to<3","d i love you to","0",0,0,0,18,1,1,1,0,5,5,1,0,0,0,0,1,0,0,0,0,1,3,1,0,0
112,":D thankyou  your soo nice :)!!","d thankyou your soo nice","0",0,0,0,31,1,1,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1
113,":o","o","0",0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,":p","p","0",0,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,";) Umm.. A walk to remember! or The Last song! Ugh theirs ALOT! haha hbu!","umm a walk to remember or the last song ugh theirs alot haha hbu","0",0,0,0,73,1,6,8,0,14,14,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2
117,"? no?","no","0",0,0,0,5,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
120,">.< ily haha :)","ily haha","0",0,0,0,15,1,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
121,"0 degrees :]","degrees","0",0,0,0,12,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
122,"1 being least? then like 2. ive watched horror movies that scared the shit out of me lol","being least then like ive watched horror movies that scared the shit out of me lol","0",0,0,0,88,1,0,2,1,16,16,2,2,0,2,1,0,1,1,0,2,0,-1,2,0,3
123,"1 year and 3 months","year and months","0",0,0,0,19,1,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
124,"1. I am totally able to telepathically read others minds.r 2. Im a fairy in this world here to spread my sparkles in someone elses life.r 3. I can drink an entire gallon of OJ in one drink. r 4. I can make a mess like nobodys business.r 5. Sometimes I eat in my dreams and am so full I don't have to eat for days. r 6. I can change the weather with my emotion alone. :]","i am totally able to telepathically read others mindsr im a fairy in this world here to spread my sparkles in someone elses lifer i can drink an entire gallon of oj in one drink r i can make a mess like nobodys businessr sometimes i eat in my dreams and am so full i dont have to eat for days r i can change the weather with my emotion alone","0",0,0,0,369,0.769230769230769,9,15,0,52,71,6,0,0,1,1,0,0,0,0,1,2,2,9,3,15
125,"1. sky dive 2. bungie jump 3. visit all the states 4. go to as many concerts as possible 5. spend a day hanging out with some celebs :D 6. travel the world  7. visit all the disneylands in the world 8. work at a job that i love  9. have a family  10. idk for this one haha","sky dive bungie jump visit all the states go to as many concerts as possible spend a day hanging out with some celebs d travel the world visit all the disneylands in the world work at a job that i love have a family idk for this one haha","0",0,0,0,272,0.847457627118644,1,11,0,40,49,10,1,0,1,1,2,1,0,0,1,5,6,10,4,12
126,"10ish","ish","0",0,0,0,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,"12 lol","lol","0",0,0,0,6,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
128,"1995 haha when i was bornwas my year! Doh!I didnt have 2 do ANYTHING on my own haha","haha when i was bornwas my year dohi didnt have do anything on my own haha","0",0,0,0,83,0.888888888888889,3,2,0,14,16,2,0,0,0,0,0,0,0,0,0,0,6,2,1,2
130,"2007. wow to think about it  it's been too long  anyways.. to PANAMA for a graduation girls vaca!","wow to think about it its been too long anyways to panama for a graduation girls vaca","0",0,0,0,97,0.944444444444444,1,5,0,16,17,1,0,2,0,1,1,0,1,1,0,1,4,2,1,4
131,"22 again...","again","0",0,0,0,11,1,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,"3:39 pm","pm","0",0,0,0,7,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
133,"30 mins tops","mins tops","0",0,0,0,12,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2
134,"6'0 <- lolz hmm im 5'1","lolz hmm im","0",0,0,0,22,1,0,3,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,"8th grade. Friday night football game with the first guy I ever liked. haha","th grade friday night football game with the first guy i ever liked haha","0",0,0,0,75,1,2,2,0,14,14,0,0,1,0,0,1,0,0,0,0,1,5,1,2,5
136,"a bunch im sure. white lies are the hardest to remember","a bunch im sure white lies are the hardest to remember","0",0,0,0,55,1,0,1,0,11,11,0,0,1,0,0,1,0,0,1,0,1,0,1,3,2
137,"A cami and gym shorts :] haha","a cami and gym shorts haha","0",0,0,0,29,1,1,2,0,6,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
138,"a different place. utopia.","a different place utopia","0",0,0,0,26,1,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
139,"a few  times","a few times","0",0,0,0,12,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
140,"A flame torch.","a flame torch","0",0,0,0,14,1,1,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
141,"a hemp bracelet my sister made me on my left wrist and my two favorite rings :]r Earrings too...lets count  8 others :)","a hemp bracelet my sister made me on my left wrist and my two favorite rings r earrings toolets count others","0",0,0,0,119,0.91304347826087,1,7,0,19,21,1,0,0,0,0,1,0,0,2,0,2,2,3,2,7
